Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
229.3910572,64.9428923,25.57065265,37.56977285,1.360000014,230.5,3.790092468,2.5
230.3868617,64.94288591,25.57063122,37.71356876,1.220000029,238.6000061,3.790092468,2.5
231.3875837,64.9428785,25.57060846,37.9387848,1.309999943,234.8000031,3.790092468,2.5
232.3906242,64.94287209,25.57058517,38.23046915,1.220000029,238.0,3.790092468,2.5
233.391191,64.94286409,25.57056172,38.0257531,1.340000033,233.0,3.790092468,2.5
234.3900825,64.94285525,25.57053775,37.88756465,1.330000043,233.1999969,3.790092468,2.5
235.3893844,64.9428471,25.57051312,37.60911816,1.299999952,236.0,3.790092468,2.5
236.3907388,64.94283933,25.57049033,37.8944535,1.200000048,233.6000061,3.790092468,2.5
237.391837,64.94283114,25.57046424,38.44175181,1.24000001,238.6999969,3.790092468,2.5
238.3909869,64.94282271,25.57043642,38.26114487,1.309999943,236.6999969,3.790092468,2.5
239.3908345,64.94281542,25.57040633,38.44803201,1.350000024,240.6000061,3.790092468,2.5
240.3862472,64.94280942,25.57038132,38.87246845,1.279999971,238.8999939,3.790092468,2.5
241.3904968,64.94280514,25.57035532,38.83419914,1.299999952,243.0,3.790092468,2.5
242.3907312,64.94279976,25.57032766,39.41519173,1.340000033,242.8000031,3.790092468,2.5
243.391026,64.94279325,25.5702998,39.66476239,1.350000024,240.1000061,3.790092468,2.5
244.3859043,64.94278883,25.57027393,39.81020875,1.299999952,243.1999969,3.790092468,2.5
245.3913864,64.94278388,25.57025045,40.34908688,1.220000029,241.8000031,3.790092468,2.5
246.3913217,64.94277855,25.57022849,40.85268611,1.230000019,235.1999969,3.790092468,2.5
247.3912043,64.94277183,25.57020234,40.43361619,1.370000005,238.8000031,3.790092468,2.5
248.3865668,64.94276409,25.57017521,40.57973099,1.350000024,239.3999939,3.790092468,2.5
249.3898384,64.94275751,25.57015294,40.90211572,1.269999981,239.3999939,3.790092468,2.5
250.3911972,64.94275182,25.57012598,41.18470703,1.269999981,246.3999939,3.790092468,2.5
251.3901692,64.94274588,25.57009784,41.19221284,1.289999962,245.5,3.790092468,2.5
252.3911857,64.94273922,25.57006935,40.82935669,1.409999967,241.8000031,3.790092468,2.5
253.3867556,64.94273082,25.57004498,40.61939137,1.379999995,236.0,3.790092468,2.5
254.3906115,64.94272415,25.57002182,41.03961549,1.289999962,241.3000031,3.790092468,2.5
255.3905279,64.94271739,25.5699962,41.16925151,1.350000024,240.1999969,3.790092468,2.5
256.3909762,64.94271068,25.56997229,41.10449035,1.24000001,243.1000061,3.790092468,2.5
257.3920845,64.94270571,25.56994418,41.31347412,1.379999995,243.6999969,3.790092468,2.5
258.3864448,64.94270036,25.56991881,41.22619248,1.25999999,243.8000031,3.790092468,2.5
259.3908191,64.942694,25.56989461,41.2853941,1.230000019,240.1000061,3.790092468,2.5
260.3899858,64.94268882,25.5698676,41.37798346,1.25,246.3999939,3.790092468,2.5
261.3897109,64.94268406,25.56983963,41.38030236,1.299999952,246.6999969,3.790092468,2.5
262.3865547,64.94267847,25.56981119,41.30003999,1.399999976,241.5,3.790092468,2.5
263.3883842,64.94267104,25.56978573,41.50682379,1.419999957,238.8999939,3.790092468,2.5
264.3909636,64.9426673,25.56976224,42.20054925,1.269999981,246.1000061,3.790092468,2.5
265.3917403,64.94266245,25.56973772,42.62840468,1.389999986,242.3000031,3.790092468,2.5
266.391155,64.94265615,25.56970992,42.29429633,1.389999986,243.6000061,3.790092468,2.5
267.3906815,64.94265115,25.56968246,42.41856317,1.350000024,251.1999969,3.790092468,2.5
